long,lat,addr,city,state,zip,url,beds,baths,sqft,date,price
-1,-1,264 45th St,Pittsburgh,PA,15201,https://www.homes.com/property/264-45th-st-pittsburgh-pa-15201/id-400022876847/,3,1,1378,1900,228642
-1,-1,269 45th St,Pittsburgh,PA,15201,https://www.homes.com/property/269-45th-st-pittsburgh-pa-15201/id-400022877069/,3,1,2200,1900,215586
-1,-1,270 Service Way,Pittsburgh,PA,15201,https://www.homes.com/property/270-service-way-pittsburgh-pa-15201/id-400022877059/,2,1,812,1900,138962
-1,-1,275 45th St,Pittsburgh,PA,15201,https://www.homes.com/property/275-45th-st-pittsburgh-pa-15201/id-400022877072/,3,1,1800,1900,257197
-1,-1,276 Service Way,Pittsburgh,PA,15201,https://www.homes.com/property/276-service-way-pittsburgh-pa-15201/id-400022877050/,4,1,899,1900,89969
-1,-1,4009 Foster St,Pittsburgh,PA,15201,https://www.homes.com/property/4009-foster-st-pittsburgh-pa-15201/id-400022876627/,3,1,1800,1900,217754
-1,-1,4024 Willow St,Pittsburgh,PA,15201,https://www.homes.com/property/4024-willow-st-pittsburgh-pa-15201/id-400022876607/,3,1,1620,1900,204320
-1,-1,4310 Foster St,Pittsburgh,PA,15201,https://www.homes.com/property/4310-foster-st-pittsburgh-pa-15201/id-400022876873/,2,1,1204,1900,181499
-1,-1,4610 Carlton St,Pittsburgh,PA,15201,https://www.homes.com/property/4610-carlton-st-pittsburgh-pa-15201/id-400022876996/,3,1,1550,1920,85089
-1,-1,4611 Bancroft St,Pittsburgh,PA,15201,https://www.homes.com/property/4611-bancroft-st-pittsburgh-pa-15201/id-400022877018/,1,2,1185,1900,160270
-1,-1,4630 Carlton St,Pittsburgh,PA,15201,https://www.homes.com/property/4630-carlton-st-pittsburgh-pa-15201/id-400022876989/,4,2,1901,1930,227001
-1,-1,153 43 1/2 St,Pittsburgh,PA,15201,https://www.homes.com/property/153-43-12-st-pittsburgh-pa-15201/id-400022876868/,3,1,1248,1900,233402
-1,-1,159 42nd St 2jan 2jan 2jan,Pittsburgh,PA,15201,https://www.homes.com/property/159-42nd-st-2jan-2jan-2jan-pittsburgh-pa-15201/id-400022876702/,1,1,1036,1900,211338
-1,-1,178 43 1/2 St,Pittsburgh,PA,15201,https://www.homes.com/property/178-43-12-st-pittsburgh-pa-15201/id-400022876786/,3,2,792,1900,60455
-1,-1,188 43 1/2 St,Pittsburgh,PA,15201,https://www.homes.com/property/188-43-12-st-pittsburgh-pa-15201/id-400022876753/,2,1,1024,1900,123282
-1,-1,234 46th St,Pittsburgh,PA,15201,https://www.homes.com/property/234-46th-st-pittsburgh-pa-15201/id-400022876864/,3,1,1288,1925,136564
-1,-1,296 38th St,Pittsburgh,PA,15201,https://www.homes.com/property/296-38th-st-pittsburgh-pa-15201/id-400022878622/,2,1,930,1900,164272
-1,-1,309 37th St,Pittsburgh,PA,15201,https://www.homes.com/property/309-37th-st-pittsburgh-pa-15201/id-400022878289/,3,1,1720,1900,216216
