label,prediction
155749,210226.392854
155017,208232.358323
613292,228850.362676
151744,107149.18944
547868,555140.583255
180155,67055.4315621
184975,148991.393072
350164,349011.99703
189423,178987.346918
418539,374301.564936
227824,129976.761586
94005,104603.708332
82301,78019.9381922
161434,132871.839257
107741,219630.359577
264621,288595.913852
121186,219537.533873
112528,226299.981118
107913,114282.498935
850710,534034.783176
138587,79157.94297
120278,184257.076519
188397,251483.13361
310226,326272.179941
157669,132798.787002
93048,87365.3239305
240736,222154.958575
103642,120293.254411
122458,186755.776062
162727,122421.004551
163941,99993.9388241
550408,362714.310269
184919,289507.537425
154199,159992.960824
80099,91407.4833789
109528,90448.9200426
77414,178289.624452
53540,218217.18786
139682,159511.666694
195441,171828.580542
367468,203862.913904
161480,141209.302935
509402,452033.356869
218045,250136.842742
277521,274723.398922
109378,200483.646168
40038,91583.800129
375883,399759.493796
75570,68607.7379358
74616,200030.82389
66510,101455.289191
522814,334400.29395
134675,120160.339045
154434,112884.061361
189611,134425.216883
73267,66213.388107
121285,79227.0368198
137962,100344.858384
235719,165894.501913
441370,335678.531889
90155,121132.134443
151791,145969.91328
146554,257986.74231
110648,110737.393839
129384,282543.11957
122684,156400.260411
147489,112390.624386
84684,76774.976423
697081,427428.206965
89915,115664.544032
200414,153708.19692
121701,122082.947515
147544,130253.664387
119420,179952.368147
161043,180247.657357
1292722,850594.333237
378976,809034.581884
330299,319375.815798
137853,183917.868009
73341,82262.0448039
118285,58904.9110277
188844,204062.874593
480989,339905.999344
43955,90398.5466696
118298,144064.556863
102401,136995.20285
122282,68214.6131339
168464,194992.113255
255121,207021.522657
314394,228852.477037
120373,233800.511065
62462,32477.8167875
136331,77457.8532655
351505,332516.482709
136752,133066.471273
139490,129510.795589
92706,356208.270859
108160,117013.549244
252638,197858.498416
161229,155391.87342
226395,258380.621222
703500,504509.808139
108225,77340.7945723
87320,94151.5742362
110038,399158.544251
223729,234840.017331
72069,45418.8591643
255352,172711.716097
255352,172711.716097
255352,172711.716097
255352,172711.716097
265008,286357.672225
164646,125275.204034
240489,323469.500977
176803,167905.020663
161133,205693.311297
177374,165451.972989
109009,134724.8419
238193,119906.745168
71942,124314.696985
100970,63221.1283246
308457,248341.034029
646681,489130.859182
64736,225654.851039
176826,254918.924724
134576,302739.425265
300443,286346.761578
152013,128751.311156
53691,79266.2255421
102851,72635.2219451
84415,96471.2250324
227817,269258.90318
103261,115897.33139
231813,250949.944541
114475,281914.988447
194103,287050.107458
175348,90455.5937322
89612,91854.4294126
334283,316355.513938
236068,276697.085368
125869,225123.525255
109753,102568.606469
160901,152491.899715
70539,154068.053359
239565,299560.070595
90313,188677.887878
111816,148128.919187
503859,289400.822769
289068,225760.392703
145134,229121.053875
329209,256960.005045
268595,285277.685811
134842,304009.96947
79229,101533.335672
715841,632523.208316
574170,367107.570076
186568,164004.109376
150879,129870.267167
134553,143335.67256
177948,82704.3939168
132790,73051.6536447
92054,104603.708332
159090,205363.059831
421008,411060.151987
274866,309896.123971
195929,269142.605637
94691,240244.499179
526334,426397.330896
446297,444591.031785
262045,254435.99854
189562,177618.399381
148248,213629.452814
121797,74746.9425207
315762,273700.78003
297614,359254.062908
195555,112879.518779
