"Address",Latitude,Longitude
"4626 Carlton St, Pittsburgh, PA 15201",40.471328,-79.95526
"4632 Carlton St, Pittsburgh, PA 15201",40.471461,-79.955096
"131 Holly Way, Pittsburgh, PA 15201",40.474586,-79.960378
"182 Home St, Pittsburgh, PA 15201",40.473799,-79.959076
"220 46th St, Pittsburgh, PA 15201",40.472228,-79.958366
"232 Schenley Manor Dr, Pittsburgh, PA 15201",40.474363,-79.93666
"265 Schenley Manor Dr, Pittsburgh, PA 15201",40.474043,-79.935556
"2901 Smallman St, Pittsburgh, PA 15201",40.458919,-79.974959
"2901 Smallman St, Pittsburgh, PA 15201",40.458919,-79.974959
"2901 Smallman St, Pittsburgh, PA 15201",40.458919,-79.974959
"2901 Smallman St, Pittsburgh, PA 15201",40.458919,-79.974959
"2901 Smallman St 2e, Pittsburgh, PA 15201",40.458847,-79.974842
"2901 Smallman St 3g, Pittsburgh, PA 15201",40.458976,-79.974828
"2901 Smallman St 4e, Pittsburgh, PA 15201",40.458819,-79.974806
"2901 Smallman St 5b 5b 5b, Pittsburgh, PA 15201",40.458919,-79.974959
"2907 Spring Way, Pittsburgh, PA 15201",40.457775,-79.973703
"2908 Penn Ave, Pittsburgh, PA 15201",40.45794,-79.97379
"3047 Penn Ave, Pittsburgh, PA 15201",40.459557,-79.9719
"312 Schenley Manor Dr, Pittsburgh, PA 15201",40.4729,-79.934824
"5147 Rosecrest Dr, Pittsburgh, PA 15201",40.474602,-79.934496
"5151 Rosecrest Dr, Pittsburgh, PA 15201",40.474423,-79.93446
"5155 Rosecrest Dr, Pittsburgh, PA 15201",40.474251,-79.934421
"5158 Rosecrest Dr, Pittsburgh, PA 15201",40.474186,-79.934945
"5159 Rosecrest Dr, Pittsburgh, PA 15201",40.474097,-79.934376
"5166 Rosecrest Pl, Pittsburgh, PA 15201",40.474506,-79.935666
"518 Kendall St, Pittsburgh, PA 15201",40.481743,-79.948564
"520 Kendall St, Pittsburgh, PA 15201",40.481707,-79.948517
